Iraq has not discovered weapons of mass destruction.,No weapons of mass destruction have been found in Iraq yet.
"After the death of Pope John Paul II, a sad place became a place of celebration. Roman Catholic believers gathered in the center of Chicago to commemorate the establishment of the new Pope Benedict XVI.","A place of mourning became the place of celebration after the death of Pope John Paul II, when Roman Catholic believers gathered in downtown Chicago to install the new Pope Benedict XVI. To mark."
"Herceptin has been approved to treat the heaviest breast cancer patients, and the company said on Monday that it will discuss with federal regulators whether it might prescribe the drug for more breast cancer patients.","Herceptin has already been approved for the treatment of the sickest breast cancer patients, and the company said on Monday that it would discuss the possibility with the federal regulators to prescribe the drug for more breast cancer patients."
"Judie Vivian, CEO of the medical services company ProMedica, said that so far, about 1,500 children have been treated and the company has helped maintain the 2-year-old heart of Ho Chi Minh City (former Saigon) Vietnam Institute life.","Judie Vivian, managing director of ProMedica, a medical services company that supports the 2-year Vietnam Heart Institute in Ho Chi Minh City (formerly Saigon), said that around 1,500 children have been treated so far."
"A man should be prosecuted in court. The man was charged with murdering a teenager 26 years ago. This teenager was the first case in the BBC One's Crimewatch case. On October 30, 1983, when 16-year-old Colette Aram disappeared, she was walking to her boyfriend's house in Keyworth, Nottinghamshire. Her body was later found very close to her home. Paul Stewart Hutchinson, 50, was charged with murder and should be tried in Nottingham District Court later.","A man is brought to justice for the murder of a teenager 26 years ago, the case of which was the first to be featured on BBC One's Crimewatch. 16-year-old Colette Aram went to her friend's house in Keyworth, Nottinghamshire on October 30, 1983, when she disappeared. Her body was later found in a field near her house. Paul Stewart Hutchinson, 50, was charged with murder and is later expected before the Nottingham magistrates."
"Britain said Friday that it banned the priest Omar Bakri from Lebanon to return to the country, where he was released by police 24 hours after he was detained in Lebanon.","Britain said on Friday that it had prevented clergyman Omar Bakri from returning to the country from Lebanon, where he was released by the police after being detained for 24 hours."
A study conducted by the Pew Hispanic Center showed that nearly 4 million children with at least one parent who entered the United States illegally were born in the United States and are therefore American citizens. The study shows that this is about three-quarters of the 5.5 million children of illegal immigrants in the United States. The study found that about 1.8 million undocumented immigrant children live in poverty.,"Nearly 4 million children who have at least one parent who illegally entered the United States were born in the United States and are therefore U.S. citizens. This emerges from the study by the Pew Hispanic Center. That's about three-quarters of the estimated 5.5 million children of illegal immigrants in the United States, the study said. The study found that around 1.8 million undocumented immigrant children live in poverty."
"Like the United States, United Nations officials are also disappointed in the meeting that Aristide killed Prime Minister Robert Marval in Port-au-Prince, which hopes to bring together all the parties in dispute.","UN officials, like the United States, are dismayed that Aristide killed a conference convened by Prime Minister Robert Malval in Port-au-Prince in hopes of bringing all the feudal parties together."
"The Washington-Bush administration ’s newly declassified narrative of the CIA ’s recommendations for severe interrogation shows that the Justice Department ’s lawyers wrote memos to authorize controversial interrogation techniques. These memos operate not on their own but in Under the guidance of the highest administrative official. Vice President Cheney and National Security Advisor Condoleezza Rice. At the same time, this statement shows that both the then Secretary of Defense Donald H. Rumsfeld and the then Secretary of State Colin Powell were excluded from the decision-making process.","WASHINGTON - A newly released account of the Bush administration's advice to the CIA on harsh interrogations shows that the small group of Department of Justice lawyers who wrote memos authorizing controversial interrogation techniques were not alone, but under the guidance of senior officials, including then, operated on Vice President Dick Cheney and National Security Advisor Condoleezza Rice. At the same time, the narrative suggests that then Secretary of Defense Donald H. Rumsfeld and then Secretary of State Colin Powell were largely excluded from the decision-making process."
"A week after not commenting on increasing the storage capacity of the Hotmail email service, Microsoft announced earlier on Thursday that it would increase its quota to 250MB to follow similar initiatives by competitors such as Google, Yahoo and Lycos.","Just a week after there was no comment on increasing the storage capacity of its Hotmail email service, Microsoft announced early Thursday that the allowance would be increased to 250 MB for similar measures taken by competitors such as Google, Yahoo, and Lycos to follow."
"42-year-old Lina Joy was born to Azlina Jailani, a Malay parent, and grew up as a Muslim. The Constitution of Malaysia guarantees religious freedom, but according to the law, all Malays are Muslims. Joy was converted to Christianity at the age of 26. After experiencing some bureaucratic difficulties, her name was legally changed in 1999. However, on her MyKad national ID card, the National Registration Board retained what she said was Islam. In order to change his religious beliefs, the National Registry stated that Joey must obtain an apostate certificate from the Muslim Islamic Court.","Lina Joy, 42, was born to Malay parents Azlina Jailani and grew up as a Muslim. The Malaysian constitution guarantees freedom of religion, but by law all ethnic Malaysians are Muslims. Joy converted to Christianity at the age of 26 and after some bureaucratic difficulties, her name was legally changed in 1999. However, the national registration department retained its declared religion as Islam on its MyKad identity card. In order to change her religion, the National Registration Department said Joy had to get a certificate of trash from the Muslim Sharia court."
"November 9, 1989, the day when the Berlin Wall fell and the world changed forever. Even the smartest people did not see it coming. In the late summer of 1989, Hungarian Foreign Minister Gyula Horn ordered the visiting East Germans to use his country to make a 400-mile final sprint around the Berlin Wall, which is now regarded as the beginning of the end of the tough guy . European communism.","November 9, 1989, the day the Berlin Wall fell and the world changed forever. Not even the smartest saw it coming. As a Hungarian foreign minister in late summer 1989, Gyula Horn gave the order to let visiting East Germans use his country for a 400-mile run around the Berlin Wall, a move that is now seen as the beginning of the end for hardware. Line communism in Europe."
"Valero Energy Corp. said on Monday that it had discovered ""extensive"" additional losses at its Port Arthur refinery with a daily output of 250,000 barrels.","Valero Energy Corp. announced on Monday that its Port Arthur refinery was experiencing ""extensive"" additional damage at 250,000 barrels per day."
"Yukos oil threat lifted, oil prices fall",Oil prices fall as the Yukos oil threat subsides
Louisville quarterback Brian Brohm threw 368 yards and scored five touchdowns in the Cardinals' 63-27 victory over Oregon State University.,"Brian Brohm, the Louisville quarterback, threw for 368 yards and five touchdowns when the Cardinals defeated the visit to Oregon State 63-27."
"Greg Page is a former heavyweight boxing champion who suffered severe brain damage during a fight in 2001 at the age of 50. His wife Patricia said that a WBA champion died in his home in Kentucky, USA due to injuries-related complications. Suffering in battle. After the fight against Dale Crowe ended on the 10th round on March 9, 2001, Page fell into a coma for a week. Patricia Page announced on Monday that he was dead after he died in sleep, and he is ""now in a better position.""","Greg Page, a former heavyweight boxing champion who suffered a serious brain injury in a fight in 2001, died at the age of 50. His wife Patricia said the one-time WBA champion had died in battle from complications related to injury at his home in Kentucky, United States. Page was in a coma for a week after the fight against Dale Crowe on March 9, 2001, which was stopped in the 10th round. Patricia Page said he was ""now in a better place"" after announcing Monday that he had died sleeping over night."
"Sierra is likely to remain in her hometown Hillsboro County Jail in Tampa until she is released on bail at her next hearing on December 20, otherwise she will not be able to participate in the Washington event last Friday , Even though she was still allowed to participate in the show. . Sierra Leone has been in prison since the beginning of this month since it was expelled from the police outside the Tampa nightclub this month. She was charged with disorderly drunkenness and resisting arrest.","Sierra is likely to remain in prison in Hillsborough County Prison in her hometown of Tampa until her next hearing on December 20, where she is being held on bail, which would prevent her from attending the Washington event on Friday, even if she did still had permission to perform. Sierra has been in prison since the beginning of the month after quarreling with police officers outside a Tampa nightclub from which she was expelled. She is charged with disorderly poisoning and resistance to the arrest."
"However, since 1987, Brazil has taken measures to significantly reduce damage, including strengthening law enforcement and eliminating tax incentives that lead to large-scale land clearing.","However, since 1987, Brazil has taken steps to drastically reduce the destruction, including increased enforcement and removal of tax incentives that have resulted in widespread deforestation."
"FIFA has received 11 invitations to bid for the 2018 and 2022 FIFA World Cup matches, which is an international football match participated by the men's national team. The countries competing for the tournament are Australia, the United Kingdom, Indonesia, Japan, Mexico, Qatar, Russia, South Korea and the United States. They bid separately. The joint bids came from Belgium-Netherlands and Spain-Portugal. The selected bids are for the 2018 and 2022 championships, and the two bids are for the 2022 championships only. Qatar and South Korea are only competing for the 2022 championship. The 24-member Executive Committee of FIFA will select two winning bids in December 2010. FIFA President Sepp Blatter said: ""We are very happy to show great interest in our flagship competition and all the original bidders have confirmed their candidacy.""","FIFA has received eleven offers to host the 2018 and 2022 FIFA World Cup tournaments, an international soccer competition hosted by the men's national teams. The countries struggling to host the tournament are Australia, England, Indonesia, Japan, Mexico, Qatar, Russia, South Korea and the United States, which have individual bids and the common bids come from Belgium-the Netherlands and Spain-Portugal. Selected bids apply to 2018 and 2022 tournaments, and two bids apply only to 2022 tournaments. Qatar and South Korea are only competing for the 2022 tournament. The two winning bids will be selected in December 2010 by the FIFA 24-member Executive Committee. FIFA President Sepp Blatter said: ""We are very pleased about the fantastic interest in our flagship competition, in which all first bidders confirm their candidacy."""
US crude oil futures closed down 1.32 US dollars to 42.83 US dollars per barrel.,US crude declined $ 1.32 to $ 42.83 a barrel.
"Wennenden, Germany-On Wednesday, a young gunman killed 15 people, most of them female, in a rage that began in a school near Stuttgart in southern Germany and ended in a nearby town. The police committed suicide after dying him. The attack left Germany. Germany suffered a similar attack on a school seven years ago and tightened its strict control of firearms in an effort to understand the slaughter that was reduced to slaughter again. This is a country with relatively few violent crimes. In 2002, a gunman killed 16 people and then committed suicide at a school in Erfurt in eastern Germany.","WINNENDEN, Germany - A young shooter killed 15 people, most of them female, on a killing spree that started in a school near Stuttgart in southern Germany and ended in a nearby town where he killed himself after him on Wednesday the police had been wounded. The attack left Germany, which, after a similar attack on a school seven years ago, tightened strict weapons controls and had difficulty understanding the slaughter that had hit it again, a country with relatively little violent crime. In 2002, a shooter killed 16 people before killing himself at a school in Erfurt in eastern Germany."
"There are many hopes for the sale of Talisman ’s property in Palm Beach and Hendry County, and Vice President Al Gore announced the news last year on the occasion of the 50th anniversary of the Everglades National Park.","There are high hopes for the sale of Talisman's holdings in the counties of Palm Beach and Hendry, which Vice President Al Gore announced with great enthusiasm last year on the 50th anniversary of the Everglades National Park."
"Rabies virus infects the central nervous system, causing encephalopathy and eventually death. Early symptoms of rabies are non-specific and include fever, headache, and general malaise.","The rabies virus infects the central nervous system and causes encephalopathy and ultimately death. Early symptoms of rabies in humans are non-specific and consist of fever, headache and general malaise."
"Due to the export sales of cigarettes and the diversification of products sold (including food), American Tobacco Company showed profit for most of the quarter.","American tobacco companies made a profit in most quarters due to the export sales of cigarettes and the diversification of products sold, including food."
"About 10,000 years ago, the early human development of agriculture also caused harm to many natural ecosystems because they were systematically destroyed and replaced by people.","The development of agriculture by early humans around 10,000 years ago was also detrimental to many natural ecosystems, as they were systematically destroyed and replaced by artificial versions."
"The two young leaders of the coup, Pibul Songgram and Pridi Phanomyang, both educated in Europe and influenced by Western thought, ruled in the following years Thai politics.","The two young leaders of the coup, Pibul Songgram and Pridi Phanomyang, both trained in Europe and influenced by Western ideas, dominated Thai politics in the following years."
"After all, Lin Biao is the creator of the quotation of Mao Zedong's ""Little Red Book"".","After all, Lin Piao was the creator of Mao's ""Little Red Book""."
"When a patient interrupts a course of antibiotic treatment, the surviving bacteria will revenge and usually mutate quickly to resist treatment.","When patients interrupt an antibiotic course, the surviving bacteria return with all their might and are often quickly mutated to withstand therapy."
"Initially, the Bundesbank opposed the introduction of the euro, but in view of the political pressure from the capitalist politicians who supported its introduction, it had to accept the euro.","The Bundesbank was initially opposed to the introduction of the euro, but had to accept it given the political pressure from the capitalist politicians who supported its introduction."
The Armed Forces Press Committee (COPREFA) acknowledged that government forces caused 11 casualties in these conflicts and added that they caused 3 casualties to the rebels.,"The Armed Forces Press Committee (COPREFA) admitted that government troops had suffered eleven victims in the clashes, adding that they had inflicted three victims on the rebels."
"An economic study will not be the basis for public policy decisions in Canada, but Easton ’s research does show that legalizing cannabis has economic benefits.","An economic study won't be the basis for Canada's policy decisions, but Easton's research conclusively shows that legalizing marijuana has economic benefits."
"Archaeologists have discovered about 30 well-preserved mummies in an Egyptian cemetery with more than 4,000 years of history. There are 53 tombs in the cemetery. The team of Dr. Abdel-Rahman El-Ayedi, Director of Medieval Egyptian Antiquities, has established an archaeological site in Faiyum Oasis near the Egyptian pyramids in El-Lahun, south of Cairo. In addition to the mummies, the team found masks, amulets, clay pots and an enshrined table in the funeral chapel. The history of the church can be traced back to 30 BC to 337 AD.","Archaeologists have found around 30 beautifully preserved mummies in a 4,000-year-old Egyptian necropolis with 53 tombs. Head of Antiquity for Middle Egypt The team of Dr. Abdel-Rahman El-Ayedi set up his archaeological site in the Faiyum oasis near the Egyptian pyramid El-Lahun south of Cairo. In addition to the mummies, the team found masks, amulets, clay pots and a sacrificial table in a grave chapel. The chapel dates from 30 BC. Until 337 AD"
Gastrointestinal bleeding may be an adverse reaction of non-steroidal anti-inflammatory drugs such as aspirin or ibuprofen.,Gastrointestinal bleeding can be an adverse effect of nonsteroidal anti-inflammatory drugs such as aspirin or ibuprofen.
"The company's former employee, David Vance of South Portland, said that Hooper spent a lot of time on the road, often meeting customers between Portland and Kittery.","A former employee of the company, David Vance from South Portland, said Hooper spent a lot of time on the go and often met customers between Portland and Kittery."
"Whether Cyprus is divided or not, it will join the EU on May 1.","Cyprus, divided or not, will join the EU on May 1st."
World leaders expressed concern on Thursday that North Korea will withdraw from the six-party nuclear disarmament negotiations and will strengthen its nuclear weapons arsenal.,Heads of state and government of the world expressed concern on Thursday that North Korea will end the six-party nuclear disarmament talks and strengthen its nuclear arsenal.
"In addition to the establishment of the Electoral Commission, the law also covers nationality, which is a controversial issue because the nationality law has been tightened to exclude one of Gbagbo ’s main competitors, former Prime Minister Alathan Watara.","In addition to establishing the Electoral Commission, laws also concern citizenship, a controversial issue as citizenship laws have been tightened to exclude one of Gbagbo's main competitors from the 2000 presidential race, former Prime Minister Alassane Ouattara."
"Mohandas Karamchand Gandhi has never won the Nobel Peace Prize, although he was nominated five times between 1937 and 1948.","Mohandas Karamchand Gandhi never received the Nobel Peace Prize, although he was nominated five times between 1937 and 1948."
"The Christian Democratic Party (CDU) won 35.2% of the votes, that is, 225 seats, while the Social Democratic Party (SPD) of Prime Minister Gerhard Schroeder had a vote rate of 34.3%.",The Christian Democrats (CDU) won 35.2% of the vote or 225 seats compared to 34.3% for the Social Democrats of Chancellor Gerhard Schroeder (SPD).
Edward VIII became king in January 1936 and abdicated in December.,Edward VIII became king in January 1936 and abdicated in December.
"David Hicks, a detainee in Guantánamo Bay, Australia, has acquired British citizenship, which opens the door to his possible departure from the United States detention facility in Cuba. The British High Court Justice Lawrence Collins overturned the British government's decision to reject Hicks 'citizenship. Hicks' mother was born in the United Kingdom. Judge Collins said the government ""has no power to retain or deprive of citizenship."" Judge Collins said: “I do n’t think it would be appropriate not to give assistance, just because the claimant was considered to have participated in terrorist activities and had no previous contact with the country.” Hicks ’lawyer Stephen Groz Grosz) said that this decision was a breakthrough. He said that Hicks now has no reason not to enjoy the same protection as the other nine British citizens who were acquitted from Guantanamo Bay under the representative of the British government.","David Hicks, detained in Guantanamo Bay, Australia, has gained British citizenship, opening the door to a possible offer to release him from the U.S. detention center in Cuba. British High Court Justice Lawrence Collins overturned the British government's denial of citizenship to Hicks, whose mother was born in England. Judge Collins said the government ""has no authority to hold or deprive citizenship."" Judge Collins said, ""In my opinion, it would be inappropriate not to provide assistance that would otherwise have been provided simply because it was believed that the applicant was involved in terrorism and had no previous connection to this country."" Hicks' attorney, Stephen Grosz, said the decision was a breakthrough. He said there is now no reason why Hicks should not enjoy the same protection as the nine other British citizens who were released without charge from Guantanamo Bay on behalf of the British government."
"Since the late 1950s, comfrey has been commercially harvested in Nova Scotia and is currently the most important commercial seaweed in the Atlantic Ocean region of Canada.",Rockweed has been commercially harvested in Nova Scotia since the late 1950s and is currently the most important commercial seaweed in Atlantic Canada.
Pakistani President Pervez Musharraf ordered the security forces to take firm action against the mob after the assassination of opposition leader Benazir Bhutto. The violence has killed at least 44 people and injured dozens. Musharraf insisted that these measures were to protect the people. Voice of America (VOA) Ayaz Gul reported in Islamabad that the 54-year-old politician's death and who was assassinated also triggered a fierce dispute.,Pakistani President Pervez Musharraf has ordered security forces to take decisive action against the rioters after the murder of opposition leader Benazir Bhutto. At least 44 people were killed and dozens injured in the violence. Mr. Musharraf insisted that the measures were to protect people. Ayaz Gul from VOA reports from Islamabad that a bitter dispute has broken out about how the 54-year-old politician died and who is behind her murder.
"One month after Governor David A. Paterson gave up the proposal for soda taxes, the New York City Health Commissioner wrote an article advocating a “high amount” of soda and sugary sports drinks tax. The article said that this tax may be the biggest public health benefit since the tobacco tax. His co-authors, Dr. Thomas R. Frieden and Dr. Kelly Brownell of Yale University, argued in the New England Journal of Medicine that a penny tax on every ounce of coins can be reduced by more than 10%. Spending and raising New York State's annual income alone is $ 1.2 billion.","A month after Governor David A. Paterson dropped his soda tax proposal, the New York City Health Commissioner wrote an article advocating ""high"" taxes on sugary sodas and sports drinks. Such a tax, the article said, could be the biggest boon to public health since tobacco taxes. Commissioner Dr. Thomas R. Frieden and Yale University's co-author Kelly D. Brownell argue in the New England Journal of Medicine that a one cent per ounce tax could cut and increase consumption by more than 10 percent in the state of New Alone York $ 1.2 billion a year."
"Officials said the suspect in Finland was dead, but did not provide the motive for the attack.","Officials said the Finnish suspect was among the dead, but provided no motive for the attack."
"Since the invasion of Argentina in 1982, the United Kingdom agreed to lift the military protection zone for 150 miles around the archipelago by March 31.",Britain agreed to lift a 150-mile military protection zone that had been built around the islands by March 31 since Argentina invaded it in 1982.
